Wavelength (nm),Absorbance,Color,Concentration,Smoothed Absorbance,webcolor
573.8589211618257,0.16188524590163933,black,0,0.16200486564102984,#000000
574.3775933609959,0.1627049180327869,black,0,0.1626944434651879,#000000
574.896265560166,0.16352459016393442,black,0,0.16339598647729736,#000000
575.4149377593361,0.16352459016393442,black,0,0.1641088026410811,#000000
575.9336099585062,0.16434426229508195,black,0,0.16483188023133136,#000000
576.4522821576763,0.1651639344262295,black,0,0.16556418246027657,#000000
576.9709543568465,0.16598360655737704,black,0,0.16630497728185487,#000000
577.4896265560166,0.16680327868852457,black,0,0.16705354432382208,#000000
578.0082987551867,0.16680327868852457,black,0,0.16780927548528568,#000000
578.5269709543569,0.16762295081967213,black,0,0.16857196044599385,#000000
579.045643153527,0.16844262295081966,black,0,0.16934140234313474,#000000
579.5643153526971,0.16926229508196722,black,0,0.17011735593213795,#000000
580.0829875518672,0.17090163934426228,black,0,0.1708999536195601,#000000
580.6016597510373,0.17172131147540984,black,0,0.17169029463369873,#000000
581.1203319502075,0.17254098360655737,black,0,0.17248949478541284,#000000
581.6390041493776,0.1733606557377049,black,0,0.1732981966954748,#000000
582.1576763485477,0.17418032786885246,black,0,0.17411655545619797,#000000
582.6763485477179,0.175,black,0,0.17494444705328932,#000000
583.195020746888,0.17581967213114752,black,0,0.17578165213524594,#000000
583.7136929460581,0.17663934426229508,black,0,0.1766275106819088,#000000
584.2323651452282,0.1774590163934426,black,0,0.17748134873783436,#000000
584.7510373443984,0.17827868852459017,black,0,0.17834284432908018,#000000
585.2697095435685,0.1790983606557377,black,0,0.17921209590256246,#000000
585.7883817427386,0.17991803278688523,black,0,0.18008961233277204,#000000
586.3070539419087,0.18073770491803276,black,0,0.18097590343106332,#000000
586.8257261410788,0.18155737704918032,black,0,0.1818713653438196,#000000
587.344398340249,0.18237704918032788,black,0,0.18277626646829728,#000000
587.8630705394191,0.1831967213114754,black,0,0.1836907673012691,#000000
588.3817427385892,0.18401639344262294,black,0,0.18461498359138162,#000000
588.9004149377594,0.18483606557377047,black,0,0.1855486089330489,#000000
589.4190871369294,0.18647540983606556,black,0,0.18649082299006756,#000000
589.9377593360996,0.18729508196721312,black,0,0.18744029506748064,#000000
590.4564315352698,0.18811475409836065,black,0,0.18839511879789228,#000000
590.9751037344398,0.18893442622950818,black,0,0.18935344568956586,#000000
591.49377593361,0.1897540983606557,black,0,0.19031394133730625,#000000
592.01244813278,0.19057377049180327,black,0,0.19127606693479252,#000000
592.5311203319502,0.19139344262295083,black,0,0.19223971671713383,#000000
593.0497925311204,0.1930327868852459,black,0,0.1932049254091231,#000000
593.5684647302904,0.19467213114754098,black,0,0.19417172015902098,#000000
594.0871369294606,0.1954918032786885,black,0,0.19514005730566403,#000000
594.6058091286307,0.1971311475409836,black,0,0.19610993693607445,#000000
595.1244813278008,0.19795081967213113,black,0,0.1970812365181986,#000000
595.643153526971,0.19877049180327866,black,0,0.1980535644346932,#000000
596.161825726141,0.19959016393442622,black,0,0.19902635197672075,#000000
596.6804979253112,0.20040983606557378,black,0,0.1999992042308046,#000000
597.1991701244814,0.2012295081967213,black,0,0.20097190270890158,#000000
597.7178423236514,0.20204918032786884,black,0,0.2019446175126351,#000000
598.2365145228216,0.20286885245901637,black,0,0.20291759215954963,#000000
598.7551867219917,0.20368852459016393,black,0,0.2038909539874127,#000000
599.2738589211618,0.20450819672131146,black,0,0.20486494373400557,#000000
599.792531120332,0.20532786885245902,black,0,0.20583984186608598,#000000
600.311203319502,0.20614754098360655,black,0,0.20681652417034369,#000000
600.8298755186722,0.2077868852459016,black,0,0.20779638879795617,#000000
601.3485477178424,0.20860655737704917,black,0,0.2087811096963762,#000000
601.8672199170124,0.20942622950819673,black,0,0.20977261419459511,#000000
602.3858921161826,0.21024590163934426,black,0,0.21077276990646462,#000000
602.9045643153527,0.2110655737704918,black,0,0.2117829413975382,#000000
603.4232365145228,0.21270491803278688,black,0,0.21280373739667383,#000000
603.941908713693,0.2135245901639344,black,0,0.21383501096999113,#000000
604.4605809128631,0.21434426229508197,black,0,0.21487619462891272,#000000
604.9792531120332,0.2151639344262295,black,0,0.21592678910565266,#000000
605.4979253112033,0.21680327868852456,black,0,0.21698628739568734,#000000
606.0165975103735,0.21762295081967212,black,0,0.218053910331967,#000000
606.5352697095436,0.2192622950819672,black,0,0.21912853636823432,#000000
607.0539419087137,0.22008196721311474,black,0,0.2202090764734459,#000000
607.5726141078839,0.22090163934426227,black,0,0.22129434525699035,#000000
608.0912863070539,0.22254098360655736,black,0,0.22238299610516213,#000000
608.6099585062241,0.22336065573770492,black,0,0.22347356693843884,#000000
609.1286307053942,0.22499999999999998,black,0,0.22456449867629594,#000000
609.6473029045643,0.2258196721311475,black,0,0.2256542228089936,#000000
610.1659751037345,0.22663934426229507,black,0,0.22674121707022504,#000000
610.6846473029045,0.22827868852459016,black,0,0.2278242109219331,#000000
611.2033195020747,0.2290983606557377,black,0,0.22890191900978932,#000000
611.7219917012449,0.22991803278688522,black,0,0.22997327724025804,#000000
612.2406639004149,0.2315573770491803,black,0,0.23103765903149473,#000000
612.7593360995851,0.23237704918032787,black,0,0.23209513792360578,#000000
613.2780082987551,0.2331967213114754,black,0,0.2331459225837243,#000000
613.7966804979253,0.23483606557377046,black,0,0.2341900506671954,#000000
614.3153526970955,0.23565573770491802,black,0,0.2352275950230561,#000000
614.8340248962655,0.23647540983606558,black,0,0.23625853131963329,#000000
615.3526970954357,0.2372950819672131,black,0,0.23728260101812665,#000000
615.8713692946058,0.23893442622950817,black,0,0.23829935290825544,#000000
616.3900414937759,0.23975409836065573,black,0,0.23930830705388464,#000000
616.9087136929461,0.24057377049180326,black,0,0.24030887173874962,#000000
617.4273858921163,0.24139344262295082,black,0,0.24130064131180426,#000000
617.9460580912863,0.24221311475409835,black,0,0.24228333380738612,#000000
618.4647302904565,0.24303278688524588,black,0,0.24325662250053903,#000000
618.9834024896265,0.2438524590163934,black,0,0.2442204433181056,#000000
619.5020746887967,0.2454918032786885,black,0,0.24517524768340263,#000000
620.0207468879669,0.24631147540983606,black,0,0.2461221067936131,#000000
620.5394190871369,0.2471311475409836,black,0,0.24706226918466723,#000000
621.0580912863071,0.24795081967213112,black,0,0.24799675786710826,#000000
621.5767634854772,0.2495901639344262,black,0,0.24892664801896217,#000000
622.0954356846473,0.25040983606557377,black,0,0.24985290421075337,#000000
