lambda,signal,smoothed_signal
4.86409e-07,0.0161403,0.01620924600807407
4.87369e-07,0.0160252,0.016206855444621717
4.88329e-07,0.0159662,0.016236363705118877
4.89289e-07,0.0160234,0.016311918448161433
4.90249e-07,0.0162066,0.016438835452009106
4.91209e-07,0.0165006,0.016602293594434225
4.92169e-07,0.0168807,0.016764641811137338
4.93129e-07,0.0172547,0.016867424340413387
4.94089e-07,0.0175037,0.016876149929058462
4.9505e-07,0.0174682,0.016767831394009815
4.9601e-07,0.0170768,0.016506749112132405
4.9697e-07,0.0164764,0.01605646929265461
4.9793e-07,0.0155324,0.015433702241828499
4.9889e-07,0.0147481,0.014745182304532228
4.9985e-07,0.0138549,0.014098205897714662
5.0081e-07,0.012985,0.01362235842271789
5.0177e-07,0.0120659,0.01340590081275375
5.0273e-07,0.0123959,0.013374338930458795
5.0369e-07,0.0130882,0.013526379742642465
5.0465e-07,0.0139278,0.01380023731568404
5.05611e-07,0.0146798,0.01405716145014586
5.06571e-07,0.0151156,0.01416602546220871
5.07531e-07,0.0150821,0.014127142366910681
5.08491e-07,0.0145656,0.0139025039615699
5.09451e-07,0.0137049,0.01346664049297021
5.10411e-07,0.0127372,0.01291796831555365
5.11371e-07,0.0118994,0.012442106015790304
5.12331e-07,0.0113499,0.012164658132623875
5.13291e-07,0.0111584,0.012097446121917283
5.14251e-07,0.0113426,0.012211600210667185
5.15212e-07,0.0118948,0.012569821086981669
5.16172e-07,0.0127838,0.013215981653128183
5.17132e-07,0.0139391,0.014113410987085073
5.18092e-07,0.0152323,0.015126914137775522
5.19052e-07,0.01647,0.016059882644367623
5.20012e-07,0.0174432,0.01674899445320903
5.20972e-07,0.0180125,0.017146813175631062
5.21932e-07,0.018164,0.01729966366804918
5.22892e-07,0.01798,0.017273757906701482
5.23852e-07,0.0175601,0.017054291551643837
5.24812e-07,0.0169655,0.01663204876461208
5.25773e-07,0.0162258,0.01604805202480064
5.26733e-07,0.0153742,0.015384715551361644
5.27693e-07,0.0144788,0.014762287827091942
5.28653e-07,0.0136719,0.014318325314724637
5.29613e-07,0.0131309,0.014129587020771281
5.30573e-07,0.0130163,0.014161440261305303
