

lambda(m), Y
5.66097e-07, 0.1199
5.66577e-07, 0.1204
5.67057e-07, 0.120822
5.67537e-07, 0.121136
5.68017e-07, 0.12144
5.68497e-07, 0.121622
5.68977e-07, 0.121764
5.69457e-07, 0.121921
5.69937e-07, 0.122005
5.70417e-07, 0.122198
5.70897e-07, 0.122436
5.71377e-07, 0.122745
5.71857e-07, 0.123276
5.72337e-07, 0.123856
5.72817e-07, 0.124662
5.73297e-07, 0.125622
5.73777e-07, 0.12665
5.74257e-07, 0.127916
5.74737e-07, 0.129155
5.75218e-07, 0.130522
5.75698e-07, 0.131927
5.76178e-07, 0.133246
5.76658e-07, 0.134664
5.77138e-07, 0.135901
5.77618e-07, 0.137146
5.78098e-07, 0.1383
5.78578e-07, 0.139285
5.79058e-07, 0.140292
5.79538e-07, 0.14107
5.80018e-07, 0.141843
5.80498e-07, 0.142494
5.80978e-07, 0.143019
5.81458e-07, 0.143562
5.81938e-07, 0.143918
5.82418e-07, 0.144317
5.82898e-07, 0.144606
5.83378e-07, 0.144846
5.83858e-07, 0.145107
5.84338e-07, 0.145232
5.84818e-07, 0.145426
5.85299e-07, 0.1455
5.85779e-07, 0.145574
5.86259e-07, 0.145619
5.86739e-07, 0.145559
5.87219e-07, 0.145541
5.87699e-07, 0.145377
5.88179e-07, 0.145238
5.88659e-07, 0.144999
5.89139e-07, 0.144702
5.89619e-07, 0.144378
5.90099e-07, 0.143916
5.90579e-07, 0.143456
5.91059e-07, 0.142842
5.91539e-07, 0.142187
5.92019e-07, 0.141421
5.92499e-07, 0.14054
5.92979e-07, 0.139601
5.93459e-07, 0.138501
5.93939e-07, 0.137358
5.94419e-07, 0.136075
5.94899e-07, 0.134722
5.9538e-07, 0.133302
5.9586e-07, 0.131778
5.9634e-07, 0.130273
5.9682e-07, 0.12867
5.973e-07, 0.127149
5.9778e-07, 0.125597
5.9826e-07, 0.124144
5.9874e-07, 0.122771
5.9922e-07, 0.121478
5.997e-07, 0.120374
6.0018e-07, 0.119321
6.0066e-07, 0.118524
6.0114e-07, 0.11777
6.0162e-07, 0.117279
6.021e-07, 0.116859
6.0258e-07, 0.116658
6.0306e-07, 0.116586
6.0354e-07, 0.116659
6.0402e-07, 0.116926
6.045e-07, 0.11726
6.0498e-07, 0.117824
6.05461e-07, 0.118393
6.05941e-07, 0.119181
6.06421e-07, 0.119932
6.06901e-07, 0.120838
6.07381e-07, 0.121692
6.07861e-07, 0.122597
6.08341e-07, 0.123458
6.08821e-07, 0.124257
6.09301e-07, 0.125034
6.09781e-07, 0.125654
6.10261e-07, 0.126282
6.10741e-07, 0.126693
6.11221e-07, 0.127134
6.11701e-07, 0.127337
6.12181e-07, 0.127576
6.12661e-07, 0.127587
6.13141e-07, 0.127612
6.13621e-07, 0.127439
6.14101e-07, 0.127232
6.14581e-07, 0.126863
6.15062e-07, 0.126393
6.15542e-07, 0.125798
6.16022e-07, 0.12503
6.16502e-07, 0.124171
6.16982e-07, 0.12308
6.17462e-07, 0.121939
6.17942e-07, 0.120536
6.18422e-07, 0.119141
6.18902e-07, 0.117501
6.19382e-07, 0.115945
6.19862e-07, 0.114207
6.20342e-07, 0.112645
6.20822e-07, 0.111002
6.21302e-07, 0.109633
6.21782e-07, 0.108293
6.22262e-07, 0.107298
6.22742e-07, 0.106419
6.23222e-07, 0.105909
6.23702e-07, 0.105559
6.24182e-07, 0.105547
6.24662e-07, 0.105691
6.25143e-07, 0.106095
6.25623e-07, 0.106612
6.26103e-07, 0.107285
6.26583e-07, 0.10802
6.27063e-07, 0.108816
6.27543e-07, 0.109641
6.28023e-07, 0.110463
6.28503e-07, 0.111303
6.28983e-07, 0.112117
6.29463e-07, 0.112973
6.29943e-07, 0.113817
6.30423e-07, 0.114755
6.30903e-07, 0.115712
6.31383e-07, 0.116811
6.31863e-07, 0.117959
6.32343e-07, 0.119285
6.32823e-07, 0.120682
6.33303e-07, 0.122257
6.33783e-07, 0.123898
6.34263e-07, 0.125678
6.34743e-07, 0.127506
6.35224e-07, 0.129409
6.35704e-07, 0.131334
6.36184e-07, 0.133247
6.36664e-07, 0.135154
6.37144e-07, 0.136965
6.37624e-07, 0.138767
6.38104e-07, 0.140393
6.38584e-07, 0.142022
6.39064e-07, 0.143413
6.39544e-07, 0.144842
6.40024e-07, 0.145997
6.40504e-07, 0.147236
6.40984e-07, 0.14818
6.41464e-07, 0.149248
6.41944e-07, 0.150033
6.42424e-07, 0.150972
6.42904e-07, 0.151632
6.43384e-07, 0.152459
6.43864e-07, 0.15304
6.44344e-07, 0.153766
6.44824e-07, 0.154239
6.45305e-07, 0.154831
6.45785e-07, 0.155208
6.46265e-07, 0.155615
6.46745e-07, 0.1558
6.47225e-07, 0.156008
6.47705e-07, 0.155949
6.48185e-07, 0.1559
6.48665e-07, 0.155596
6.49145e-07, 0.155254
6.49625e-07, 0.154717
6.50105e-07, 0.154105
6.50585e-07, 0.15334
6.51065e-07, 0.152507
6.51545e-07, 0.151565
6.52025e-07, 0.150548
6.52505e-07, 0.1495
6.52985e-07, 0.148347
6.53465e-07, 0.147241
6.53945e-07, 0.145976
6.54425e-07, 0.144853
6.54905e-07, 0.143539
6.55386e-07, 0.14241
6.55866e-07, 0.141082
6.56346e-07, 0.139954
6.56826e-07, 0.138663
6.57306e-07, 0.137551
6.57786e-07, 0.136354
6.58266e-07, 0.135288
6.58746e-07, 0.134251
6.59226e-07, 0.13328
6.59706e-07, 0.132473
6.60186e-07, 0.131671
6.60666e-07, 0.131156
6.61146e-07, 0.130613
6.61626e-07, 0.130441
6.62106e-07, 0.130249
6.62586e-07, 0.130451
6.63066e-07, 0.130689
6.63546e-07, 0.131276
6.64026e-07, 0.131988
6.64506e-07, 0.132941
6.64986e-07, 0.134115
6.65467e-07, 0.135388
6.65947e-07, 0.136949
6.66427e-07, 0.138468
6.66907e-07, 0.140279
6.67387e-07, 0.141951
6.67867e-07, 0.143844
6.68347e-07, 0.14557
6.68827e-07, 0.147382
6.69307e-07, 0.149068
6.69787e-07, 0.150676
6.70267e-07, 0.152244
6.70747e-07, 0.153578
6.71227e-07, 0.154965
6.71707e-07, 0.156009
6.72187e-07, 0.157159
6.72667e-07, 0.157949
6.73147e-07, 0.158796
6.73627e-07, 0.159395
6.74107e-07, 0.159883
6.74587e-07, 0.160329
6.75068e-07, 0.160447
6.75548e-07, 0.160708
6.76028e-07, 0.16052
6.76508e-07, 0.160488
6.76988e-07, 0.160097
6.77468e-07, 0.159663
6.77948e-07, 0.159131
6.78428e-07, 0.158277
6.78908e-07, 0.157562
6.79388e-07, 0.156392
6.79868e-07, 0.155385
6.80348e-07, 0.154045
6.80828e-07, 0.152683
6.81308e-07, 0.151259
6.81788e-07, 0.149601
6.82268e-07, 0.148096
6.82748e-07, 0.146293
6.83228e-07, 0.144687
6.83708e-07, 0.142896
6.84188e-07, 0.141212
6.84668e-07, 0.13955
6.85149e-07, 0.137854
6.85629e-07, 0.136383
6.86109e-07, 0.13477
6.86589e-07, 0.133482
6.87069e-07, 0.132069
6.87549e-07, 0.130884
6.88029e-07, 0.129765
6.88509e-07, 0.128605
6.88989e-07, 0.12775
6.89469e-07, 0.126656
6.89949e-07, 0.125884
6.90429e-07, 0.124987
6.90909e-07, 0.124135
6.91389e-07, 0.123465
6.91869e-07, 0.12259
6.92349e-07, 0.122011
6.92829e-07, 0.121292
6.93309e-07, 0.120727
6.93789e-07, 0.120205
6.94269e-07, 0.119726
6.94749e-07, 0.119413
6.9523e-07, 0.118992
6.9571e-07, 0.118963
6.9619e-07, 0.118708
6.9667e-07, 0.118672
6.9715e-07, 0.118922
6.9763e-07, 0.118857
6.9811e-07, 0.11916
6.9859e-07, 0.119511
6.9907e-07, 0.11996
6.9955e-07, 0.120129
7.0003e-07, 0.120267
7.0051e-07, 0.120971
7.0099e-07, 0.121247
7.0147e-07, 0.121674
